epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,4375.89,2.11515,2.37197,1.86736,0.33189,0.40121,0.34392,0.11857,2.70701,2.49489,1.85582,0.0084358,0.0084358,0.0084358
160,4403.31,2.12434,2.37532,1.85365,0.34029,0.41098,0.32356,0.11298,2.69514,2.53833,1.8845,0.0084259,0.0084259,0.0084259
161,4430.86,2.172,2.47344,1.8693,0.44183,0.38375,0.29758,0.10193,2.72229,2.62886,1.8635,0.008416,0.008416,0.008416
162,4458.48,2.18373,2.43605,1.87006,0.34526,0.41765,0.33487,0.1146,2.68816,2.46183,1.88538,0.0084061,0.0084061,0.0084061
163,4485.9,2.18764,2.47597,1.8365,0.37627,0.38059,0.32495,0.11088,2.69026,2.6119,1.84031,0.0083962,0.0083962,0.0083962
164,4513.28,2.13927,2.46641,1.87182,0.34928,0.3285,0.31036,0.11313,2.68008,2.52007,1.83591,0.0083863,0.0083863,0.0083863
165,4540.62,2.14929,2.40071,1.86811,0.43936,0.36881,0.33318,0.11046,2.70576,2.53413,1.84764,0.0083764,0.0083764,0.0083764
166,4567.9,2.12255,2.38153,1.81848,0.25681,0.4476,0.30903,0.10765,2.65643,2.45216,1.86441,0.0083665,0.0083665,0.0083665
167,4595.51,2.16523,2.39155,1.83457,0.35282,0.3795,0.31062,0.11342,2.66437,2.52263,1.85272,0.0083566,0.0083566,0.0083566
168,4622.74,2.09666,2.35304,1.83424,0.29329,0.31866,0.27059,0.0999,2.65503,2.52076,1.86313,0.0083467,0.0083467,0.0083467
169,4650.38,2.09791,2.34207,1.80695,0.4183,0.35727,0.3192,0.11118,2.66223,2.52369,1.83712,0.0083368,0.0083368,0.0083368
170,4677.81,2.15075,2.46311,1.87835,0.28275,0.41122,0.3066,0.11192,2.70528,2.48956,1.85506,0.0083269,0.0083269,0.0083269
171,4705.13,2.12778,2.37406,1.83548,0.48345,0.35237,0.35965,0.118,2.69999,2.46448,1.82497,0.008317,0.008317,0.008317
172,4732.47,2.14877,2.39012,1.85987,0.46415,0.36586,0.32622,0.11029,2.6815,2.4109,1.85589,0.0083071,0.0083071,0.0083071
173,4759.75,2.10956,2.37886,1.82173,0.31207,0.43457,0.34117,0.11808,2.62557,2.43358,1.82026,0.0082972,0.0082972,0.0082972
174,4787.33,2.11184,2.40236,1.82591,0.44323,0.3784,0.37844,0.12552,2.66674,2.45976,1.84726,0.0082873,0.0082873,0.0082873
175,4814.81,2.15715,2.3867,1.84061,0.41464,0.36539,0.33905,0.11278,2.66009,2.46885,1.815,0.0082774,0.0082774,0.0082774
176,4842.4,2.11518,2.41084,1.82906,0.4342,0.33815,0.33762,0.11077,2.71032,2.53281,1.85276,0.0082675,0.0082675,0.0082675
177,4869.8,2.14975,2.35674,1.80192,0.36262,0.42844,0.34873,0.11518,2.72639,2.49042,1.85615,0.0082576,0.0082576,0.0082576
